Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,127.760002,128.380005,127.430000,127.500000,110.244629,193697900
2012-01-04,127.199997,127.809998,126.709999,127.699997,110.417557,127186500
2012-01-05,127.010002,128.229996,126.430000,128.039993,110.711548,173895000
2012-01-06,128.199997,128.220001,127.290001,127.709999,110.426208,148050000
2012-01-09,128.000000,128.179993,127.410004,128.020004,110.694260,99530200
2012-01-10,129.389999,129.649994,128.949997,129.130005,111.654045,115282000
2012-01-11,128.729996,129.369995,128.520004,129.199997,111.714554,111540700
2012-01-12,129.570007,129.699997,128.539993,129.509995,111.982590,118983700
2012-01-13,128.639999,129.050003,127.720001,128.839996,111.403275,179836200
2012-01-17,130.080002,130.320007,128.899994,129.339996,111.835632,132209200
2012-01-18,129.309998,130.839996,129.080002,130.770004,113.072098,163395200
2012-01-19,131.220001,131.570007,130.800003,131.460007,113.668709,126328900
2012-01-20,131.240005,131.949997,130.919998,131.949997,114.092407,138230200
2012-01-23,131.509995,132.250000,130.979996,131.610001,113.798370,129295800
2012-01-24,130.800003,131.500000,130.600006,131.460007,113.668709,103083300
2012-01-25,131.259995,132.869995,130.750000,132.559998,114.619827,198613200
2012-01-26,133.149994,133.399994,131.360001,131.880005,114.031883,184880500
2012-01-27,131.240005,132.050003,131.149994,131.820007,113.980011,135259100
2012-01-30,130.509995,131.440002,130.059998,131.369995,113.590881,147311800
2012-01-31,132.020004,132.179993,130.679993,131.320007,113.547661,157212000
2012-02-01,132.289993,133.139999,132.130005,132.470001,114.542015,166234500
2012-02-02,132.729996,133.020004,132.210007,132.679993,114.723579,113090400
2012-02-03,134.000000,134.619995,133.770004,134.539993,116.331863,160598500
2012-02-06,133.979996,134.509995,133.830002,134.449997,116.254051,107694500
2012-02-07,134.169998,135.020004,133.639999,134.789993,116.548042,135528100
2012-02-08,134.860001,135.220001,134.309998,135.190002,116.893898,139361400
2012-02-09,135.410004,135.589996,134.559998,135.360001,117.040901,148602900
2012-02-10,134.160004,134.470001,133.839996,134.360001,116.176231,167907500
2012-02-13,135.320007,135.520004,134.740005,135.360001,117.040901,115841900
2012-02-14,135.000000,135.270004,134.250000,135.190002,116.893898,165329500
2012-02-15,135.630005,135.830002,134.289993,134.559998,116.349159,195195100
2012-02-16,134.570007,136.169998,134.330002,136.050003,117.637520,186567800
2012-02-17,136.520004,136.630005,135.960007,136.410004,117.948776,129869400
2012-02-21,136.729996,137.050003,136.050003,136.470001,118.000664,134042300
2012-02-22,136.259995,136.550003,135.789993,136.029999,117.620209,124455300
2012-02-23,135.960007,136.729996,135.500000,136.630005,118.139015,137704300
2012-02-24,136.929993,137.199997,136.630005,136.929993,118.398422,105539100
2012-02-27,136.020004,137.529999,135.800003,137.160004,118.597290,145728900
2012-02-28,137.199997,137.720001,136.929993,137.559998,118.943153,129355900
2012-02-29,137.759995,138.190002,136.539993,137.020004,118.476242,185934700
2012-03-01,137.309998,137.990005,136.929993,137.729996,119.090157,145023500
2012-03-02,137.639999,137.820007,137.000000,137.309998,118.726990,120638300
2012-03-05,137.100006,137.199997,136.279999,136.750000,118.242767,140765000
2012-03-06,135.350006,135.429993,134.360001,134.750000,116.513474,202129900
2012-03-07,135.059998,135.910004,134.929993,135.690002,117.326248,143692200
2012-03-08,136.520004,137.320007,136.240005,137.039993,118.493515,116968900
2012-03-09,137.300003,137.929993,137.130005,137.570007,118.951843,122836800
2012-03-12,137.550003,137.759995,137.089996,137.580002,118.960449,104003500
2012-03-13,138.320007,140.130005,138.089996,140.059998,121.104790,184090500
2012-03-14,140.100006,140.449997,139.479996,139.910004,120.975121,145163600
2012-03-15,140.119995,140.779999,139.759995,140.720001,121.675476,165118500
2012-03-16,140.360001,140.479996,140.000000,140.300003,121.843971,152893500
2012-03-19,140.210007,141.279999,140.110001,140.850006,122.321655,125291100
2012-03-20,140.050003,140.610001,139.639999,140.440002,121.965569,121729700
2012-03-21,140.520004,140.649994,139.919998,140.210007,121.765793,122388400
